circuito,subcircuito,distrito,zona,canton,codigo_canton,provincia,codigo_provincia
PONCIANO,PONCIANO 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
LA PRIMAVERA,LA PRIMAVERA 1,SHUSHUFINDI,ZONA 1,SHUSHUFINDI,2104,SUCUMBÍOS,21
EL ESFUERZO,EL ESFUERZO 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
CISNE,CISNE 2,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
FRONTERA,FRONTERA 3,SAN LORENZO,ZONA 1,SAN LORENZO,805,ESMERALDAS,8
MUCHO LOTE,MUCHO LOTE 2,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
QUITUMBE,QUITUMBE 3,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
IÑAQUITO,IÑAQUITO 3,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
PORTETE,PORTETE 2,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
HUAYNA CAPAC,HUAYNA CAPAC 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
SAN CARLOS,SAN CARLOS 1,NARANJAL BALAO,ZONA 5,BALAO,903,GUAYAS,9
JUAN MONTALVO,JUAN MONTALVO 3,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA BANDA,LA BANDA 2,LOJA,ZONA 7,LOJA,1101,LOJA,11
CANELOS,CANELOS 1,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
SAMANES,SAMANES 3,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SIMÓN BOLÍVAR,SIMÓN BOLÍVAR 1,JUJAN SIMÓN BOLÍVAR,ZONA 5,SIMÓN BOLÍVAR,922,GUAYAS,9
LA LORENA,LA LORENA 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
PASTO CALLE,PASTO CALLE 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
BETHLEMITAS,BETHLEMITAS 2,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
TUMBACO SUR,TUMBACO SUR 2,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
MENA,MENA 1,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
COLINAS DEL NORTE,COLINAS DEL NORTE 2,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
SUCRE,SUCRE 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
VINCES SUR,VINCES SUR 1,VINCES,ZONA 5,VINCES,1208,LOS RÍOS,12
VENTANAS NORTE,VENTANAS NORTE 1,VENTANAS,ZONA 5,VENTANAS,1207,LOS RÍOS,12
ORQUÍDEAS,ORQUÍDEAS 1,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
GARCÍA MORENO,GARCÍA MORENO 1,TIERRA DEL SOL,ZONA 1,COTACACHI,1003,IMBABURA,10
NARANJAL CENTRO,NARANJAL CENTRO 1,NARANJAL BALAO,ZONA 5,NARANJAL,911,GUAYAS,9
KENNEDY,KENNEDY 5,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CARCELÉN,CARCELÉN 4,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
EL TAMBO,EL TAMBO 1,CAÑAR,ZONA 6,EL TAMBO,305,CAÑAR,3
CENTRO,CENTRO 4,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
SANTA ROSA ESTE,SANTA ROSA ESTE 2,SANTA ROSA,ZONA 7,SANTA ROSA,712,EL ORO,7
BELLAVISTA,BELLAVISTA 2,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
DAMMER,DAMMER 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
LUMBAQUI,LUMBAQUI 1,SUCUMBÍOS,ZONA 1,GONZALO PIZARRO,2102,SUCUMBÍOS,21
SAN ANTONIO,SAN ANTONIO 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
PLAN DE VIVIENDA,PLAN DE VIVIENDA 3,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
LA IBERIA,LA IBERIA 1,PASAJE,ZONA 7,EL GUABO,706,EL ORO,7
NOBOA,NOBOA 1,24 DE MAYO,ZONA 4,24 DE MAYO,1316,MANABÍ,13
FORTIN,FORTIN 4,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CALDERÓN,CALDERÓN 3,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
PIMAMPIRO,PIMAMPIRO 1,CIUDAD BLANCA,ZONA 1,PIMAMPIRO,1005,IMBABURA,10
VILLA NUEVA,VILLA NUEVA 1,NARANJAL BALAO,ZONA 5,NARANJAL,911,GUAYAS,9
CRISTO DEL CONSUELO,CRISTO DEL CONSUELO 2,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
ALMEIDA,ALMEIDA 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
7 DE JULIO,7 DE JULIO 1,SHUSHUFINDI,ZONA 1,SHUSHUFINDI,2104,SUCUMBÍOS,21
TARIFA,TARIFA 1,SAMBORONDÓN,ZONA 8,SAMBORONDÓN,916,GUAYAS,9
LA PAMPA,LA PAMPA 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
CRISTO DEL CONSUELO,CRISTO DEL CONSUELO 2,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
DAULE CENTRO,DAULE CENTRO 2,DAULE,ZONA 5,DAULE,906,GUAYAS,9
LA ROLDÓS,LA ROLDÓS 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
VELASCO IBARRA,VELASCO IBARRA 1,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
BUENA FE ESTE,BUENA FE ESTE 1,BUENA FE,ZONA 5,BUENA FE,1210,LOS RÍOS,12
MARTHA DE ROLDÓS,MARTHA DE ROLDÓS 8,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
QUIROGA,QUIROGA 1,TIERRA DEL SOL,ZONA 1,COTACACHI,1003,IMBABURA,10
COTOCOLLAO,COTOCOLLAO 3,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
CHALA,CHALA 2,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
COTACACHI,COTACACHI 1,TIERRA DEL SOL,ZONA 1,COTACACHI,1003,IMBABURA,10
BOMBOLI,BOMBOLI 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
7 LAGOS,7 LAGOS 4,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA GUAYAQUIL,LA GUAYAQUIL 1,BALZAR,ZONA 5,BALZAR,904,GUAYAS,9
SAN ANDRÉS,SAN ANDRÉS 2,GUANO,ZONA 3,GUANO,607,CHIMBORAZO,6
LOS ESTEROS,LOS ESTEROS 3,MANTA,ZONA 4,MANTA,1308,MANABÍ,13
SANTA CECILIA,SANTA CECILIA 2,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
CHILE,CHILE 2,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CENTRO,CENTRO 3,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
SOLANDA,SOLANDA 4,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
CONVENTO,CONVENTO 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
MONTE BELLO,MONTE BELLO 1,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PEDRO CARBO,PEDRO CARBO 2,PEDRO CARBO,ZONA 5,PEDRO CARBO,914,GUAYAS,9
MALACATOS,MALACATOS 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
MALVINAS NORTE,MALVINAS NORTE 3,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CENTRO,CENTRO 2,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
JUJAN OESTE,JUJAN OESTE 2,JUJAN SIMÓN BOLÍVAR,ZONA 5,ALFREDO BAQUERIZO MORENO (JUJÁN),902,GUAYAS,9
GUACHARACA,GUACHARACA 2,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
MORRO,MORRO 1,PROGRESO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN ROQUE,SAN ROQUE 1,VALLE DEL AMANECER,ZONA 1,ANTONIO ANTE,1002,IMBABURA,10
SALCEDO,SALCEDO 2,SALCEDO,ZONA 3,SALCEDO,505,COTOPAXI,5
SAN SEBASTIÁN,SAN SEBASTIÁN 1,CUENCA SUR,ZONA 6,CUENCA,101,AZUAY,1
TAURA,TAURA 2,NARANJAL BALAO,ZONA 5,NARANJAL,911,GUAYAS,9
RECREO,RECREO 3,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
LAS RIELES,LAS RIELES 2,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
AZOGUES NORTE,AZOGUES NORTE 2,AZOGUES,ZONA 6,AZOGUES,301,CAÑAR,3
HUALTACO,HUALTACO 2,HUAQUILLAS,ZONA 7,HUAQUILLAS,707,EL ORO,7
SANTA ROSA OESTE,SANTA ROSA OESTE 1,SANTA ROSA,ZONA 7,SANTA ROSA,712,EL ORO,7
CHILIBULO,CHILIBULO 5,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
BELLAVISTA,BELLAVISTA 2,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
SANTA ANITA,SANTA ANITA 2,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
PUCARÁ,PUCARÁ 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
LOS LAGOS,LOS LAGOS 1,VALLE DEL AMANECER,ZONA 1,OTAVALO,1004,IMBABURA,10
FORTIN,FORTIN 2,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
NARANJITO ESTE,NARANJITO ESTE 2,NARANJITO MARCELINO MARIDUEÑA,ZONA 5,NARANJITO,912,GUAYAS,9
LAS LOMAS,LAS LOMAS 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
SHELL MERA,SHELL MERA 1,PASTAZA,ZONA 3,MERA,1602,PASTAZA,16
UNIFICADOS,UNIFICADOS 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
SALITRE SAUCES,SALITRE SAUCES 2,SALITRE,ZONA 5,SALITRE,919,GUAYAS,9
LAS CASAS,LAS CASAS 2,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
CHILIBULO,CHILIBULO 1,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
SAN ANTONIO BAJO,SAN ANTONIO BAJO 1,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
LLOA,LLOA 1,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
IV CENTENARIO,IV CENTENARIO 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
VELASCO IBARRA,VELASCO IBARRA 2,PASAJE,ZONA 7,PASAJE,709,EL ORO,7
CELI ROMÁN,CELI ROMÁN 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
URDESA,URDESA 6,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PUYO SUR,PUYO SUR 2,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
POMASQUI,POMASQUI 3,LA DELICIA,ZONA 9,QUITO,1701,PICHINCHA,17
JUNÍN SUR,JUNÍN SUR 1,BOLÍVAR JUNÍN,ZONA 4,JUNÍN,1307,MANABÍ,13
PUEMBO,PUEMBO 1,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
LOS CEREZOS,LOS CEREZOS 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
PANECILLO,PANECILLO 2,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
FAJARDO,FAJARDO 1,RUMIÑAHUI - MEJÍA,ZONA 2,RUMIÑAHUI,1705,PICHINCHA,17
LA VICTORIA,LA VICTORIA 2,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
5 DE JUNIO,5 DE JUNIO 2,LIBERTAD SALINAS,ZONA 5,LA LIBERTAD,2402,SANTA ELENA,24
LOGROÑO,LOGROÑO 1,CENTRO SUR,ZONA 6,LOGROÑO,1410,MORONA SANTIAGO,14
CHILLOGALLO,CHILLOGALLO 2,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
ANTEPARA,ANTEPARA 3,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
GUASMO,GUASMO 4,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
DIVINO NIÑO,DIVINO NIÑO 2,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
CHALA,CHALA 3,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
KM 24,KM 24 1,TENA,ZONA 2,ARCHIDONA,1503,NAPO,15
MONTE SINAÍ,MONTE SINAÍ 8,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LA CALERA,LA CALERA 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
ILINIZAS,ILINIZAS 1,RUMIÑAHUI - MEJÍA,ZONA 2,MEJÍA,1703,PICHINCHA,17
SUCÚA,SUCÚA 1,CENTRO SUR,ZONA 6,SUCÚA,1406,MORONA SANTIAGO,14
LETAMENDI,LETAMENDI 1,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
BAJO ALTO,BAJO ALTO 1,PASAJE,ZONA 7,EL GUABO,706,EL ORO,7
URBINA,URBINA 1,SAN LORENZO,ZONA 1,SAN LORENZO,805,ESMERALDAS,8
JUAN EULOGIO,JUAN EULOGIO 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
FLOR DE BASTIÓN,FLOR DE BASTIÓN 8,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN ANTONIO,SAN ANTONIO 2,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
GALO PLAZA,GALO PLAZA 3,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
LA CONDAMINE,LA CONDAMINE 2,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
NUEVO SUCUMBÍOS,NUEVO SUCUMBÍOS 2,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
SALCEDO,SALCEDO 1,SALCEDO,ZONA 3,SALCEDO,505,COTOPAXI,5
DIVINO NIÑO,DIVINO NIÑO 4,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
GUANUJO,GUANUJO 1,GUARANDA,ZONA 5,GUARANDA,201,BOLÍVAR,2
LA TOLITA,LA TOLITA 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
GUADALUPE,GUADALUPE 1,ZAMORA,ZONA 7,ZAMORA,1901,ZAMORA CHINCHIPE,19
SAN CARLOS,SAN CARLOS 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
SAN LUIS,SAN LUIS 1,GUARANDA,ZONA 5,GUARANDA,201,BOLÍVAR,2
SAN MIGUEL,SAN MIGUEL 1,MILAGRO,ZONA 5,MILAGRO,910,GUAYAS,9
EL TRIUNFO OESTE,EL TRIUNFO OESTE 2,EL TRIUNFO BUCAY,ZONA 5,EL TRIUNFO,909,GUAYAS,9
LOS CEIBOS,LOS CEIBOS 3,CEIBOS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PLAN DE VIVIENDA,PLAN DE VIVIENDA 1,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
PUYO NORTE,PUYO NORTE 2,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
CAÑAR OCCIDENTE,CAÑAR OCCIDENTE 1,CAÑAR,ZONA 6,CAÑAR,303,CAÑAR,3
LA MARISCAL,LA MARISCAL 6,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
PUCARÁ,PUCARÁ 2,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
BOLICHE,BOLICHE 1,YAGUACHI,ZONA 5,SAN JACINTO DE YAGUACHI,920,GUAYAS,9
SANTA ISABEL,SANTA ISABEL 1,LOS CHILLOS,ZONA 9,QUITO,1701,PICHINCHA,17
ZARUMA,ZARUMA 1,ZARUMA,ZONA 7,ZARUMA,713,EL ORO,7
PASA,PASA 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
PLAYAS,PLAYAS 1,PLAYAS,ZONA 5,PLAYAS,921,GUAYAS,9
PROGRESO,PROGRESO 1,PROGRESO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN ALFONSO,SAN ALFONSO 2,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
TISALEO,TISALEO 1,QUERO,ZONA 3,TISALEO,1809,TUNGURAHUA,18
CISNE,CISNE 4,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
TUMBACO,TUMBACO 2,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
TRONCAL OESTE,TRONCAL OESTE 3,LA TRONCAL,ZONA 6,LA TRONCAL,304,CAÑAR,3
LA YOLITA,LA YOLITA 1,DAULE,ZONA 5,DAULE,906,GUAYAS,9
CHILLANES,CHILLANES 1,CHILLANES,ZONA 5,CHILLANES,202,BOLÍVAR,2
AMAZONAS,AMAZONAS 2,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
CHONTACRUZ,CHONTACRUZ 2,LOJA,ZONA 7,LOJA,1101,LOJA,11
3 DE JULIO,3 DE JULIO 1,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
MALIMPIA,MALIMPIA 2,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
ZUMBI,ZUMBI 1,PAQUISHA,ZONA 7,CENTINELA DEL CÓNDOR,1907,ZAMORA CHINCHIPE,19
TEBAIDA,TEBAIDA 1,LOJA,ZONA 7,LOJA,1101,LOJA,11
7 DE OCTUBRE,7 DE OCTUBRE 2,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
PARQUE CENTRAL,PARQUE CENTRAL 1,JIPIJAPA,ZONA 4,JIPIJAPA,1306,MANABÍ,13
EL CAMBIO,EL CAMBIO 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
SAMBORONDÓN,SAMBORONDÓN 5,SAMBORONDÓN,ZONA 8,SAMBORONDÓN,916,GUAYAS,9
SELVA ALEGRE,SELVA ALEGRE 1,ELOY ALFARO - ESM,ZONA 1,ELOY ALFARO,802,ESMERALDAS,8
9 DE OCTUBRE,9 DE OCTUBRE 3,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PRIVILEGIO,PRIVILEGIO 1,PASAJE,ZONA 7,EL GUABO,706,EL ORO,7
ROSA ZARATE,ROSA ZARATE 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
IÑAQUITO,IÑAQUITO 1,EUGENIO ESPEJO,ZONA 9,QUITO,1701,PICHINCHA,17
CAMPOZANO,CAMPOZANO 1,PAJÁN,ZONA 4,PAJÁN,1310,MANABÍ,13
PICAIHUA,PICAIHUA 2,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
PUEBLO NUEVO,PUEBLO NUEVO 1,PORTOVIEJO,ZONA 4,PORTOVIEJO,1301,MANABÍ,13
JULIO ANDRADE,JULIO ANDRADE 1,TULCÁN,ZONA 1,TULCÁN,401,CARCHI,4
LA MERCED,LA MERCED 1,DANSANTE,ZONA 3,PUJILÍ,504,COTOPAXI,5
DIVINO NIÑO,DIVINO NIÑO 3,DURÁN,ZONA 8,DURÁN,907,GUAYAS,9
LA PAZ,LA PAZ 1,MONTÚFAR,ZONA 1,MONTÚFAR,405,CARCHI,4
HUAMBI,HUAMBI 1,CENTRO SUR,ZONA 6,SUCÚA,1406,MORONA SANTIAGO,14
PORTETE,PORTETE 4,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SALATI,SALATI 1,ZARUMA,ZONA 7,PORTOVELO,711,EL ORO,7
VALLE HERMOSO,VALLE HERMOSO 2,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
CENTENARIO,CENTENARIO 2,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
VINCES NORTE,VINCES NORTE 1,VINCES,ZONA 5,VINCES,1208,LOS RÍOS,12
CRISTO DEL CONSUELO,CRISTO DEL CONSUELO 3,9 DE OCTUBRE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
BARRIAL BLANCO,BARRIAL BLANCO 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
GALO PLAZA,GALO PLAZA 2,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
SAN PABLO DE TENTA,SAN PABLO DE TENTA 1,SARAGURO,ZONA 7,SARAGURO,1111,LOJA,11
JARDÍN AMBATEÑO,JARDÍN AMBATEÑO 1,AMBATO NORTE,ZONA 3,AMBATO,1801,TUNGURAHUA,18
GUALACEO,GUALACEO 2,GUALACEO,ZONA 6,GUALACEO,103,AZUAY,1
ESTEROS,ESTEROS 1,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
MATA DE CACAO,MATA DE CACAO 2,BABAHOYO,ZONA 5,BABAHOYO,1201,LOS RÍOS,12
SARAGURO,SARAGURO 1,SARAGURO,ZONA 7,SARAGURO,1111,LOJA,11
SACHAS,SACHAS 1,LA JOYA DE LOS SACHAS,ZONA 2,LA JOYA DE LOS SACHAS,2203,ORELLANA,22
NUEVO PARAÍSO,NUEVO PARAÍSO 1,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
FERROVIARIA,FERROVIARIA 5,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
PASCUALES,PASCUALES 4,PASCUALES,ZONA 8,GUAYAQUIL,901,GUAYAS,9
ECUATORIANA,ECUATORIANA 4,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
LAS CUADRAS,LAS CUADRAS 1,QUITUMBE,ZONA 9,QUITO,1701,PICHINCHA,17
CUPA,CUPA 1,QUININDÉ,ZONA 1,QUININDÉ,804,ESMERALDAS,8
SAN JOAQUÍN,SAN JOAQUÍN 1,CUENCA NORTE,ZONA 6,CUENCA,101,AZUAY,1
BELLAVISTA,BELLAVISTA 5,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
EL GOALTAL,EL GOALTAL 1,ESPEJO,ZONA 1,ESPEJO,403,CARCHI,4
CORDERO CRESPO,CORDERO CRESPO 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
TOACAZO,TOACAZO 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
EL ENO,EL ENO 1,LAGO AGRIO,ZONA 1,LAGO AGRIO,2101,SUCUMBÍOS,21
FLORIDA,FLORIDA 2,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
LOS LAGOS,LOS LAGOS 2,VALLE DEL AMANECER,ZONA 1,OTAVALO,1004,IMBABURA,10
PARAÍSO LA FLOR,PARAÍSO LA FLOR 3,NUEVA PROSPERINA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PICAIHUA,PICAIHUA 1,AMBATO SUR,ZONA 3,AMBATO,1801,TUNGURAHUA,18
SAN JUAN DE CALDERÓN,SAN JUAN DE CALDERÓN 2,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
SANTA ELENA CENTRO,SANTA ELENA CENTRO 3,SANTA ELENA,ZONA 5,SANTA ELENA,2401,SANTA ELENA,24
TALAG,TALAG 1,TENA,ZONA 2,TENA,1501,NAPO,15
MALVINAS SUR,MALVINAS SUR 1,ESTEROS,ZONA 8,GUAYAQUIL,901,GUAYAS,9
JUAN MONTALVO,JUAN MONTALVO 6,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SAN ANDRÉS,SAN ANDRÉS 1,GUANO,ZONA 3,GUANO,607,CHIMBORAZO,6
CAYAMBE NORTE,CAYAMBE NORTE 1,CAYAMBE,ZONA 2,CAYAMBE,1702,PICHINCHA,17
LA ESPERANZA,LA ESPERANZA 1,QUEVEDO,ZONA 5,QUEVEDO,1205,LOS RÍOS,12
24 DE MAYO,24 DE MAYO 1,RIOBAMBA,ZONA 3,RIOBAMBA,601,CHIMBORAZO,6
FRONTERA,FRONTERA 2,SAN LORENZO,ZONA 1,SAN LORENZO,805,ESMERALDAS,8
MENA,MENA 4,ELOY ALFARO - DMQ,ZONA 9,QUITO,1701,PICHINCHA,17
LAS KATYAS,LAS KATYAS 3,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
COMPLEJO DEPORTIVO,COMPLEJO DEPORTIVO 1,CIUDAD BLANCA,ZONA 1,IBARRA,1001,IMBABURA,10
BELISARIO QUEVEDO,BELISARIO QUEVEDO 1,LATACUNGA,ZONA 3,LATACUNGA,501,COTOPAXI,5
RANCHO VIEJO,RANCHO VIEJO 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
CARAPUNGO,CARAPUNGO 1,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
ITCHIMBIA,ITCHIMBIA 2,MANUELA SÁENZ,ZONA 9,QUITO,1701,PICHINCHA,17
BOMBOLI,BOMBOLI 2,SANTO DOMINGO OESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
LOS BANCOS,LOS BANCOS 1,NOROCCIDENTE,ZONA 2,SAN MIGUEL DE LOS BANCOS,1707,PICHINCHA,17
QUICHINCHE,QUICHINCHE 1,VALLE DEL AMANECER,ZONA 1,OTAVALO,1004,IMBABURA,10
BATALLÓN DEL SUBURBIO,BATALLÓN DEL SUBURBIO 4,PORTETE,ZONA 8,GUAYAQUIL,901,GUAYAS,9
CENTRO,CENTRO 2,SANTO DOMINGO ESTE,ZONA 4,SANTO DOMINGO,2301,STO DGO DE LOS TSÁCHILAS,23
LA MANÁ NORTE,LA MANÁ NORTE 1,LA MANÁ,ZONA 3,LA MANÁ,502,COTOPAXI,5
JAUNECHE,JAUNECHE 1,VINCES,ZONA 5,PALENQUE,1209,LOS RÍOS,12
ALBORADA,ALBORADA 4,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
JUNQUILLAL,JUNQUILLAL 1,SALITRE,ZONA 5,SALITRE,919,GUAYAS,9
LA CUATRO MIL,LA CUATRO MIL 1,MACHALA,ZONA 7,MACHALA,701,EL ORO,7
LLANO CHICO,LLANO CHICO 1,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
