circuito,subcircuito,distrito,zona,canton,codigo_canton,provincia,codigo_provincia
CUYABENO,CUYABENO 1,PUTUMAYO,ZONA 1,CUYABENO,2107,SUCUMBÍOS,21
BOLÍVAR,BOLÍVAR 2,MONTÚFAR,ZONA 1,BOLÍVAR,402,CARCHI,4
ESTACADA,ESTACADA 1,PEDRO CARBO,ZONA 5,PEDRO CARBO,914,GUAYAS,9
CHAMUCAME,CHAMUCAME 1,24 DE MAYO,ZONA 4,SANTA ANA,1313,MANABÍ,13
SABANILLA,SABANILLA 2,SABANILLA,ZONA 7,CELICA,1104,LOJA,11
LA AMÉRICA,LA AMÉRICA 1,JIPIJAPA,ZONA 4,JIPIJAPA,1306,MANABÍ,13
RIO TIGRE,RIO TIGRE 1,PASTAZA,ZONA 3,PASTAZA,1601,PASTAZA,16
LA VICTORIA,LA VICTORIA 1,MACARÁ,ZONA 7,MACARÁ,1108,LOJA,11
ZAPALLO,ZAPALLO 1,CHONE,ZONA 4,FLAVIO ALFARO,1305,MANABÍ,13
LAS PAMPAS,LAS PAMPAS 1,SIGCHOS,ZONA 3,SIGCHOS,507,COTOPAXI,5
RUMIPAMBA,RUMIPAMBA 1,QUERO,ZONA 3,QUERO,1806,TUNGURAHUA,18
SAN JUAN BOSCO,SAN JUAN BOSCO 1,SUR - MORONA,ZONA 6,SAN JUAN BOSCO,1408,MORONA SANTIAGO,14
GUIZHAGUIÑA,GUIZHAGUIÑA 1,ZARUMA,ZONA 7,ZARUMA,713,EL ORO,7
PUMPULA,PUMPULA 1,ESMERALDAS,ZONA 1,ESMERALDAS,801,ESMERALDAS,8
BEJUCO,BEJUCO 2,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
SAN VICENTE,SAN VICENTE 2,JIPIJAPA,ZONA 4,JIPIJAPA,1306,MANABÍ,13
ORIANGA,ORIANGA 1,CATACOCHA,ZONA 7,PALTAS,1109,LOJA,11
RIO VENDIDO,RIO VENDIDO 1,PICHINCHA,ZONA 4,PICHINCHA,1311,MANABÍ,13
SANCAN,SANCAN 1,JIPIJAPA,ZONA 4,JIPIJAPA,1306,MANABÍ,13
EL LIMO,EL LIMO 1,SABANILLA,ZONA 7,PUYANGO,1110,LOJA,11
SANTA FE DE GALÁN,SANTA FE DE GALÁN 1,GUANO,ZONA 3,GUANO,607,CHIMBORAZO,6
BACHILLERO,BACHILLERO 2,ROCAFUERTE,ZONA 4,TOSAGUA,1315,MANABÍ,13
MARTHA DE ROLDÓS,MARTHA DE ROLDÓS 7,FLORIDA,ZONA 8,GUAYAQUIL,901,GUAYAS,9
PAPALLACTA,PAPALLACTA 1,EL VALLE DE QUIJOS,ZONA 2,QUIJOS,1507,NAPO,15
GUAYACANES,GUAYACANES 1,MODELO,ZONA 8,GUAYAQUIL,901,GUAYAS,9
SÍGSIG,SÍGSIG 1,SÍGSIG,ZONA 6,SÍGSIG,109,AZUAY,1
BOYACÁ,BOYACÁ 1,CHONE,ZONA 4,CHONE,1303,MANABÍ,13
MOMPICHE,MOMPICHE 2,ATACAMES,ZONA 1,MUISNE,803,ESMERALDAS,8
LA RAMA,LA RAMA 1,MACARÁ,ZONA 7,MACARÁ,1108,LOJA,11
TUTUPALI,TUTUPALI 1,ZAMORA,ZONA 7,YACUAMBI,1904,ZAMORA CHINCHIPE,19
BORBON,BORBON 2,ELOY ALFARO - ESM,ZONA 1,ELOY ALFARO,802,ESMERALDAS,8
LA CONCEPCIÓN,LA CONCEPCIÓN 1,ESPEJO,ZONA 1,MIRA,404,CARCHI,4
SOZORANGA,SOZORANGA 1,MACARÁ,ZONA 7,SOZORANGA,1112,LOJA,11
CAÑAR OCCIDENTE,CAÑAR OCCIDENTE 2,CAÑAR,ZONA 6,CAÑAR,303,CAÑAR,3
COLIMES RURAL,COLIMES RURAL 1,BALZAR,ZONA 5,COLIMES,905,GUAYAS,9
SAN ROQUE,SAN ROQUE 1,24 DE MAYO,ZONA 4,OLMEDO,1318,MANABÍ,13
PUNA,PUNA 2,SUR - DMG,ZONA 8,GUAYAQUIL,901,GUAYAS,9
TELIMBELA,TELIMBELA 1,SAN MIGUEL,ZONA 5,CHIMBO,203,BOLÍVAR,2
QUINCHE,QUINCHE 1,TUMBACO,ZONA 9,QUITO,1701,PICHINCHA,17
LIMONES,LIMONES 3,ELOY ALFARO - ESM,ZONA 1,ELOY ALFARO,802,ESMERALDAS,8
SABANILLA,SABANILLA 1,SABANILLA,ZONA 7,CELICA,1104,LOJA,11
ALEJANDRO LABAKA,ALEJANDRO LABAKA 1,ORELLANA LORETO,ZONA 2,FRANCISCO DE ORELLANA,2201,ORELLANA,22
GUAYLLABAMBA,GUAYLLABAMBA 2,CALDERÓN,ZONA 9,QUITO,1701,PICHINCHA,17
