sexo,rango_edad,etnia,nacionalidad
MUJER,ADULTO,INDIGENA,FRANCIA
HOMBRE,ADULTO MAYOR,MESTIZO/A,CHILE
HOMBRE,NIÑOS(AS),BLANCO/A,ARGENTINA
MUJER,ADULTO,MULATO/A,VENEZUELA
HOMBRE,ADULTO,OTROS,ESTADOS UNIDOS
HOMBRE,ADULTO,BLANCO/A,FRANCIA
HOMBRE,ADULTO,OTROS,IRLANDA
HOMBRE,NIÑOS(AS),BLANCO/A,VENEZUELA
HOMBRE,ADULTO MAYOR,ASIATICO/A,CHINA POPULAR
HOMBRE,ADULTO MAYOR,BLANCO/A,ALEMANIA
HOMBRE,ADULTO MAYOR,AFRO,REPUBLICA DOMINICANA
MUJER,NIÑOS(AS),AFRO,VENEZUELA
HOMBRE,ADULTO,OTROS,INDIA
HOMBRE,ADOLESCENTES,OTROS,ARGENTINA
HOMBRE,NIÑOS(AS),AFRO,VENEZUELA
MUJER,ADULTO,MONTUBIO/A,COLOMBIA
HOMBRE,ADULTO,OTROS,FRANCIA
MUJER,ADOLESCENTES,MESTIZO/A,ESPAÑA
MUJER,ADULTO MAYOR,MESTIZO/A,OTROS
HOMBRE,ADULTO,BLANCO/A,ARGENTINA
HOMBRE,ADOLESCENTES,MULATO/A,CUBA
MUJER,ADOLESCENTES,MESTIZO/A,MEXICO
MUJER,NIÑOS(AS),AFRO,COLOMBIA
HOMBRE,NIÑOS(AS),MESTIZO/A,ESPAÑA
HOMBRE,ADOLESCENTES,AFRO,CUBA
MUJER,NIÑOS(AS),MULATO/A,COLOMBIA
HOMBRE,NIÑOS(AS),OTROS,ARGENTINA
MUJER,NIÑOS(AS),OTROS,ARGENTINA
MUJER,ADULTO,MESTIZO/A,RUSIA
HOMBRE,ADULTO MAYOR,MESTIZO/A,ITALIA
HOMBRE,ADULTO,BLANCO/A,CUBA
MUJER,NIÑOS(AS),MESTIZO/A,ESTADOS UNIDOS
HOMBRE,ADOLESCENTES,AFRO,ESPAÑA
HOMBRE,ADULTO,BLANCO/A,ALBANIA
HOMBRE,ADULTO,BLANCO/A,CHILE
HOMBRE,ADULTO,ASIATICO/A,OTROS
HOMBRE,ADOLESCENTES,BLANCO/A,ALEMANIA
HOMBRE,ADULTO,OTROS,BAHREIN
